Variable,VariableLabel,Value,ValueLabel
ses,"Thinking about your family's financial situation when you were growing up, how would you describe your family's social class?",1,Upper class
,,2,Upper-middle class
,,3,Middle class
,,4,Working class
,,5,Lower class
,,,
regvoter,Are you currently registered to vote at your present address?,1,"Yes, registered to vote"
,,2,"No, not registered"
,,,
race,Which of the following races or ethnicities do you most identify with?,1,Asian
,,2,Black or African-American
,,3,Hispanic/Latino
,,4,American Indian
,,5,Middle Eastern
,,6,Native Hawaiian
,,7,White
,,8,Two or more races
,,10,Other
,,,
ideo,Political ideology,1,Very liberal
,,2,Somewhat liberal
,,3,Slightly liberal
,,4,"Moderate, middle-of-the-road"
,,5,Slightly conservative
,,6,Somewhat conservative
,,7,Very conservative
,,8,Democratic Socialist
,,9,Libertarian
,,10,Haven‚'t thought much about this
,,11,Something else
,,,
adminclear,How clear is it to you that your college administration protects free speech on campus?,1,Not at all clear
,,2,Not very clear
,,3,Somewhat clear
,,4,Very clear
,,5,Extremely clear
,,,
admincontr,"If a controversy over offensive speech were to occur on your campus, how likely is it that the administration would defend the speaker's right to express their views?",1,Not at all likely
,,2,Not very likely
,,3,Somewhat likely
,,4,Very likely
,,5,Extremely likely
,,,
pubprof,How comfortable would you feel doing the following on your campus?: Publicly disagreeing with a professor about a controversial political topic.,1,Very uncomfortable
,,2,Somewhat uncomfortable
,,3,Somewhat comfortable
,,4,Very comfortable
,,,
wrtprof,How comfortable would you feel doing the following on your campus? Expressing disagreement with one of your professors about a controversial political topic in a written assignment.,1,Very uncomfortable
,,2,Somewhat uncomfortable
,,3,Somewhat comfortable
,,4,Very comfortable
,,,
inclass,How comfortable would you feel doing the following on your campus? Expressing your views on a controversial political topic during an in-class discussion.,1,Very uncomfortable
,,2,Somewhat uncomfortable
,,3,Somewhat comfortable
,,4,Very comfortable
,,,
quad,"How comfortable would you feel doing the following on your campus? Expressing your views on a controversial political topic to other students during a discussion in a common campus space such as a quad, dining hall, or lounge.",1,Very uncomfortable
,,2,Somewhat uncomfortable
,,3,Somewhat comfortable
,,4,Very comfortable
,,,
socmedia,How comfortable would you feel doing the following on your campus? Expressing an unpopular political opinion to your fellow students on a social media account tied to your name.,1,Very uncomfortable
,,2,Somewhat uncomfortable
,,3,Somewhat comfortable
,,4,Very comfortable
,,,
scstdnts,How often do you self-censor during conversations with other students on campus?,1,Never
,,2,Rarely
,,3,"Occasionally, once or twice a month"
,,4,"Fairly often, a couple of times a week"
,,5,"Very often, nearly every day"
,,,
scprofs,How often do you self-censor during conversations with your professors?,1,Never
,,2,Rarely
,,3,"Occasionally, once or twice a month"
,,4,"Fairly often, a couple of times a week"
,,5,"Very often, nearly every day"
,,,
scclass,How often do you self-censor during classroom discussions?,1,Never
,,2,Rarely
,,3,"Occasionally, once or twice a month"
,,4,"Fairly often, a couple of times a week"
,,5,"Very often, nearly every day"
,,,
shoutdown,How acceptable would you say it is for students to engage in the following actions to protest a campus speaker? Shouting down a speaker to prevent them from speaking on campus.,1,Always acceptable
,,2,Sometimes acceptable
,,3,Rarely acceptable
,,4,Never acceptable
,,,
block,How acceptable would you say it is for students to engage in the following actions to protest a campus speaker? Blocking other students from attending a campus speech.,1,Always acceptable
,,2,Sometimes acceptable
,,3,Rarely acceptable
,,4,Never acceptable
,,,
violence,How acceptable would you say it is for students to engage in the following actions to protest a campus speaker? Using violence to stop a campus speech.,1,Always acceptable
,,2,Sometimes acceptable
,,3,Rarely acceptable
,,4,Never acceptable
,,,
spktrans,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? Transgender people have a mental disorder.",1,Definitely should not allow this speaker
,,2,Probably should not allow this speaker
,,3,Probably should allow this speaker
,,4,Definitely should allow this speaker
,,,
spkabortion,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? Abortion should be completely illegal.",1,Definitely should not allow this speaker
,,2,Probably should not allow this speaker
,,3,Probably should allow this speaker
,,4,Definitely should allow this speaker
,,,
spkblm,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? Black Lives Matter is a hate group.",1,Definitely should not allow this speaker
,,2,Probably should not allow this speaker
,,3,Probably should allow this speaker
,,4,Definitely should allow this speaker
,,,
spkchurch,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? The Catholic church is a pedophilic institution.",1,Definitely should not allow this speaker
,,2,Probably should not allow this speaker
,,3,Probably should allow this speaker
,,4,Definitely should allow this speaker
,,,
spkpolice,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? The police are just as racist as the Ku Klux Klan.",1,Definitely should not allow this speaker
,,2,Probably should not allow this speaker
,,3,Probably should allow this speaker
,,4,Definitely should allow this speaker
,,,
spkchildren,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? Children should be able to transition without parental consent.",1,Definitely should not allow this speaker
,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? Children should be able to transition without parental consent.",2,Probably should not allow this speaker
,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? Children should be able to transition without parental consent.",3,Probably should allow this speaker
,"Student groups often invite speakers to campus to express their views on a range of topics. Regardless of your own views on the topic, should your school ALLOW or NOT ALLOW a speaker on campus who has previously expressed the following idea? Children should be able to transition without parental consent.",4,Definitely should allow this speaker
,,,
abortion,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Abortion",0,No
,,1,Yes
,,,
affirmact,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Affirmative action",0,No
,,1,Yes
,,,
china,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): China",0,No
,,1,Yes
,,,
climate,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Climate change",0,No
,,1,Yes
,,,
crime,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Crime",0,No
,,1,Yes
,,,
econineq,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Economic inequality",0,No
,,1,Yes
,,,
freespeech,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Freedom of speech",0,No
,,1,Yes
,,,
gayrights,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Gay rights",0,No
,,1,Yes
,,,
genderineq,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Gender inequality",0,No
,,1,Yes
,,,
gunctrl,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Gun control",0,No
,,1,Yes
,,,
hatespeech,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Hate speech",0,No
,,1,Yes
,,,
immigration,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Immigration",0,No
,,1,Yes
,,,
ipc,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): The Israeli/Palestinian conflict",0,No
,,1,Yes
,,,
election,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): The 2024 presidential election",0,No
,,1,Yes
,,,
police,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Police misconduct",0,No
,,1,Yes
,,,
raceineq,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Racial inequality",0,No
,,1,Yes
,,,
relig,"Some students say it can be difficult to have conversations about certain issues on campus. Which of the following issues, if any, would you say are difficult to have an open and honest conversation about on your campus? (select all that apply): Religion",0,No
