Gender,Sexual orientation,Response,Tag,N,left_wing_tolerance,right_wing_tolerance
Women,Gay/Lesbian,Interfaith,Short explanation,1,66.7,0.0
Women,Straight (Heterosexual),Interfaith (Jewish & Lutheran),Short explanation,1,44.4,11.1
Women,Straight (Heterosexual),It’s complicated,Other,1,66.7,66.7
Women,Bisexual,Jehovahs Witness,Normal,1,22.2,11.1
Women,Straight (Heterosexual),Jehovah’s Witness,Normal,1,33.3,33.3
Women,Gay/Lesbian,Jewish agnostic,Normal,1,66.7,0.0
Women,Bisexual,Lakota spiritual beliefs,Normal,1,22.2,88.9
Women,Missing,Lover of Jesus Christ,Normal,1,100.0,100.0
Women,Straight (Heterosexual),Lutheran (Christian),Short explanation,1,22.2,44.4
Women,Straight (Heterosexual),Lutheran/ christian,Short explanation,1,22.2,22.2
Women,Straight (Heterosexual),Lutheran/Christian,Short explanation,1,0.0,55.6
Women,Straight (Heterosexual),Luthern,Normal,1,44.4,44.4
Women,Straight (Heterosexual),Mennonite,Normal,1,44.4,0.0
Women,Straight (Heterosexual),Messianic,Normal,1,33.3,33.3
Women,Straight (Heterosexual),Methodist Episcopalian,Normal,1,33.3,22.2
Women,Straight (Heterosexual),Moravian,Normal,1,33.3,33.3
Women,Queer/Questioning/Other,Multiple of the above,Other,1,55.6,100.0
Women,Gay/Lesbian,My native traditions,Unusual,1,33.3,11.1
Women,Bisexual,My tribe’s traditional beliefs.,Unusual,1,44.4,11.1
Women,Straight (Heterosexual),Native American Spiritual,Normal,1,44.4,0.0
Women,Gay/Lesbian,Naturalistic Pagan,Unusual,1,100.0,44.4
Women,Bisexual,Navajo Traditional,Unusual,1,33.3,0.0
Women,Straight (Heterosexual),Nazzarine,Normal,1,33.3,44.4
Women,Straight (Heterosexual),No say,Other,1,0.0,0.0
Women,Queer/Questioning/Other,Non denomination,Normal,1,44.4,22.2
Women,Straight (Heterosexual),Non denominational,Normal,1,66.7,55.6
Women,Straight (Heterosexual),Non denominational christian,Normal,1,66.7,44.4
Women,Bisexual,Non-Believer in anything,Normal,1,33.3,33.3
Women,Straight (Heterosexual),Non-Denom,Normal,1,66.7,66.7
Women,Missing,Non-Denominational,Normal,1,33.3,11.1
Women,Queer/Questioning/Other,Non-Denominational/Full Gospel,Short explanation,1,55.6,33.3
Women,Straight (Heterosexual),Non-denominational,Normal,1,77.8,66.7
Women,Straight (Heterosexual),Non-denominational christian,Normal,1,11.1,55.6
Women,Queer/Questioning/Other,"Non-practicing, questioning Catholic",Short explanation,1,44.4,44.4
Women,Queer/Questioning/Other,Non-religious,Normal,1,22.2,66.7
Women,Queer/Questioning/Other,Non-specific religion,Other,1,33.3,0.0
Women,Straight (Heterosexual),Nondenominational,Normal,1,66.7,66.7
Women,Bisexual,Omnist,Unusual,1,33.3,11.1
Women,Straight (Heterosexual),Paegan,Unusual,1,11.1,44.4
Women,Bisexual,Pagen,Unusual,1,44.4,33.3
Women,Straight (Heterosexual),Polish National Catholic,Normal,1,44.4,0.0
Women,Gay/Lesbian,Polytheist,Unusual,1,77.8,0.0
Women,Straight (Heterosexual),Prefer not to answer,Other,1,33.3,33.3
Women,Missing,Prefer not to respond,Other,1,66.7,66.7
Women,Straight (Heterosexual),Prefer not to share,Other,1,33.3,33.3
Women,Bisexual,"Raised Catholic, but love Islam. Overall, I believe in God.",Long explanation,1,55.6,22.2
Women,Straight (Heterosexual),Raised Christian,Short explanation,1,33.3,11.1
Women,Straight (Heterosexual),Raised Jewish practice Christianity,Short explanation,1,100.0,100.0
Women,Straight (Heterosexual),Rastafarian,Normal,1,33.3,44.4
Women,Straight (Heterosexual),Reincarnation,Unusual,1,44.4,44.4
Women,Straight (Heterosexual),SDA,Normal,1,33.3,44.4
Women,Straight (Heterosexual),Sabbatarian Christian,Normal,1,66.7,77.8
Women,Bisexual,Santeria,Normal,1,66.7,0.0
Women,Queer/Questioning/Other,Satanist/Atheist,Joke,1,33.3,33.3
Women,Queer/Questioning/Other,"Scholar of different religions, started Christian",Long explanation,1,33.3,33.3
Women,Straight (Heterosexual),Scientology,Normal,1,66.7,66.7
Women,Straight (Heterosexual),Seventh day adventist,Normal,1,66.7,66.7
Women,Straight (Heterosexual),Seventh-day,Normal,1,55.6,22.2
Women,Straight (Heterosexual),Shaman,Unusual,1,0.0,0.0
Women,Straight (Heterosexual),Shamanist,Unusual,1,55.6,11.1
Women,Straight (Heterosexual),Shinto,Normal,1,22.2,33.3
Women,Queer/Questioning/Other,Shintoist,Normal,1,22.2,0.0
Women,Straight (Heterosexual),Sikh and Hindu,Short explanation,1,55.6,0.0
Women,Straight (Heterosexual),Southern Baptist,Normal,1,44.4,11.1
Women,Bisexual,Spiritual and Nonaffiliated,Short explanation,1,33.3,0.0
Women,Straight (Heterosexual),Spiritual beliefs,Normal,1,100.0,100.0
Women,Queer/Questioning/Other,Spiritual but not religious,Short explanation,1,55.6,0.0
Women,Straight (Heterosexual),Spiritual idk,Normal,1,66.7,33.3
Women,Bisexual,Spiritual not religious,Short explanation,1,0.0,0.0
Women,Queer/Questioning/Other,Spiritual x pseudo christian,Short explanation,1,11.1,0.0
Women,Gay/Lesbian,Spiritual/Christian,Short explanation,1,22.2,0.0
Women,Queer/Questioning/Other,Spiritual/Metaphysical,Short explanation,1,66.7,22.2
Women,Straight (Heterosexual),Spirituality,Normal,1,33.3,0.0
Women,Queer/Questioning/Other,Spritual with an emphasis on indigenous Yoruba religious practices,Long explanation,1,100.0,0.0
Women,Straight (Heterosexual),Taoism,Normal,1,33.3,44.4
Women,Straight (Heterosexual),The universe,Unusual,1,33.3,11.1
Women,Missing,Tribal,Unusual,1,55.6,33.3
Women,Bisexual,UCC,Normal,1,0.0,0.0
Women,Gay/Lesbian,UU,Normal,1,33.3,22.2
Women,Queer/Questioning/Other,Unitarian Universalisr,Normal,1,88.9,66.7
Women,Gay/Lesbian,Unitarian Universalist. (And atheist),Short explanation,1,66.7,0.0
Women,Straight (Heterosexual),Uu,Normal,1,66.7,77.8
Women,Straight (Heterosexual),Wicca,Unusual,1,88.9,77.8
Women,Missing,Witch,Joke,1,66.7,66.7
Women,Bisexual,Witchcraft,Joke,1,55.6,22.2
Women,Bisexual,Working to get baptized. Inspiring Christian,Long explanation,1,66.7,44.4
Women,Straight (Heterosexual),Wouldn’t consider myself LDS but I participate in that church,Long explanation,1,100.0,100.0
Women,Straight (Heterosexual),Yoruban,Unusual,1,11.1,22.2
Women,Straight (Heterosexual),Zoro,Normal,1,33.3,33.3
Women,Straight (Heterosexual),Zoroaster,Normal,1,0.0,66.7
Women,Queer/Questioning/Other,a belief in god,Short explanation,1,66.7,11.1
Women,Queer/Questioning/Other,apostolic,Normal,1,11.1,0.0
Women,Bisexual,"atheist father, Christian Mother",Short explanation,1,11.1,0.0
Women,Straight (Heterosexual),baptist,Normal,1,44.4,11.1
Women,Straight (Heterosexual),"believe in god, but not religion",Short explanation,1,44.4,0.0
Women,Straight (Heterosexual),"believe in god, not religiously affiliated",Short explanation,1,55.6,33.3
Women,Straight (Heterosexual),christian: nondenomination,Normal,1,22.2,33.3
Women,Straight (Heterosexual),christianity,Normal,1,44.4,11.1
Women,Straight (Heterosexual),deist,Unusual,1,55.6,11.1
Women,Gay/Lesbian,episcopalian,Normal,1,66.7,11.1
Women,Bisexual,everything,Joke,1,66.7,0.0
Women,Straight (Heterosexual),follower of God,Normal,1,66.7,88.9
Women,Straight (Heterosexual),greek orthodox,Normal,1,33.3,0.0
Women,Missing,hellenistic pagan,Unusual,1,33.3,0.0
Women,Straight (Heterosexual),hindu and jain,Short explanation,1,22.2,55.6
Women,Queer/Questioning/Other,hindu-buddhist,Normal,1,66.7,0.0
Women,Bisexual,i believe in god,Short explanation,1,44.4,44.4
Women,Gay/Lesbian,i don’t care,Joke,1,77.8,11.1
Women,Straight (Heterosexual),idk,Other,1,100.0,100.0
Women,Straight (Heterosexual),it’s complicated,Other,1,0.0,66.7
Women,Bisexual,jewish agnostic,Normal,1,55.6,55.6
Women,Straight (Heterosexual),jewish and catholic,Short explanation,1,0.0,0.0
Women,Bisexual,jewish and christian,Short explanation,1,11.1,0.0
Women,Gay/Lesbian,mar thoma syrian christian,Normal,1,66.7,0.0
Women,Bisexual,maronite,Normal,1,66.7,0.0
Women,Gay/Lesbian,maronite catholic,Normal,1,55.6,0.0
Women,Straight (Heterosexual),methodist christian- but also agnostic,Short explanation,1,44.4,0.0
Women,Queer/Questioning/Other,mix of catholicism and spiritual,Short explanation,1,33.3,33.3
Women,Straight (Heterosexual),multiple,Other,1,55.6,33.3
Women,Straight (Heterosexual),n/a,Other,1,11.1,0.0
Women,Straight (Heterosexual),non traditonal follower of Christ,Normal,1,100.0,100.0
Women,Straight (Heterosexual),nondenominational,Normal,1,22.2,33.3
Women,Straight (Heterosexual),nondenominational christian,Normal,1,0.0,22.2
Women,Straight (Heterosexual),other,Other,1,11.1,11.1
Women,Bisexual,pagan,Unusual,1,33.3,0.0
Women,Missing,pantheist christian,Normal,1,44.4,11.1
Women,Bisexual,raised Catholic but unsure,Short explanation,1,77.8,11.1
Women,Queer/Questioning/Other,"raised episcopal, currently SBNR",Short explanation,1,66.7,66.7
Women,Straight (Heterosexual),raised methodist- not practicing anymore,Long explanation,1,66.7,0.0
Women,Bisexual,satanist,Joke,1,0.0,0.0
Women,Straight (Heterosexual),seventh adventist,Normal,1,100.0,100.0
Women,Straight (Heterosexual),spiritual & catholic,Short explanation,1,66.7,44.4
Women,Straight (Heterosexual),spiritual but not religious,Short explanation,1,100.0,100.0
Women,Bisexual,taoism,Normal,1,55.6,55.6
Women,Queer/Questioning/Other,that’s not what agnostic means,Other,1,77.8,0.0
Nonbinary,Gay/Lesbian: 2; Bisexual: 5; Queer/Questioning/Other: 12,Pagan,Unusual,19,51.5,16.9
Nonbinary,Gay/Lesbian: 1; Queer/Questioning/Other: 8,Spiritual,Normal,9,61.7,16.0
Nonbinary,Queer/Questioning/Other,Satanist,Joke,3,51.9,22.2
Nonbinary,Gay/Lesbian: 1; Bisexual: 1; Queer/Questioning/Other: 1,spiritual,Normal,3,55.6,0.0
Nonbinary,Gay/Lesbian: 1; Bisexual: 1,Episcopal,Normal,2,44.4,50.0
Nonbinary,Queer/Questioning/Other,Omnist,Unusual,2,55.6,5.6
Nonbinary,Missing,ATR,Unusual,1,77.8,11.1
Nonbinary,Bisexual,Agnostic Atheist,Normal,1,66.7,44.4
Nonbinary,Queer/Questioning/Other,Agnostic theist,Normal,1,55.6,33.3
Nonbinary,Gay/Lesbian,Animism + open to any possibility,Short explanation,1,22.2,11.1
Nonbinary,Bisexual,Druid,Unusual,1,77.8,11.1
Nonbinary,Queer/Questioning/Other,Eclectic Pagan,Unusual,1,33.3,0.0
Nonbinary,Queer/Questioning/Other,Existentialist/animist,Short explanation,1,88.9,22.2
Nonbinary,Queer/Questioning/Other,Greek/Roman gods,Unusual,1,55.6,22.2
Nonbinary,Queer/Questioning/Other,Hellenic Pagan,Unusual,1,44.4,22.2
Nonbinary,Queer/Questioning/Other,Hellenic Polytheist,Unusual,1,66.7,0.0
Nonbinary,Queer/Questioning/Other,Hellenistic Pagan,Unusual,1,44.4,22.2
Nonbinary,Queer/Questioning/Other,Hindu,Normal,1,0.0,11.1
Nonbinary,Queer/Questioning/Other,I think of god philosophically,Short explanation,1,44.4,11.1
Nonbinary,Queer/Questioning/Other,Its complicated,Other,1,55.6,55.6
Nonbinary,Gay/Lesbian,It’s complicated,Other,1,77.8,11.1
Nonbinary,Queer/Questioning/Other,Jewish Pantheist,Short explanation,1,66.7,55.6
Nonbinary,Bisexual,Jewish atheist,Short explanation,1,88.9,33.3
Nonbinary,Queer/Questioning/Other,Lokean,Unusual,1,55.6,0.0
Nonbinary,Gay/Lesbian,Lutheran,Normal,1,33.3,0.0
Nonbinary,Queer/Questioning/Other,Member of the satanic temple,Joke,1,33.3,0.0
Nonbinary,Queer/Questioning/Other,Mix of Christian and Buddhist,Short explanation,1,55.6,33.3
Nonbinary,Bisexual,New wave spiritual,Unusual,1,66.7,66.7
Nonbinary,Queer/Questioning/Other,Pagan/wiccan,Unusual,1,66.7,0.0
Nonbinary,Queer/Questioning/Other,Practicing witch,Joke,1,66.7,0.0
Nonbinary,Queer/Questioning/Other,Prefer Not To Answer,Other,1,66.7,66.7
Nonbinary,Bisexual,Presbyterian USA,Normal,1,66.7,0.0
Nonbinary,Queer/Questioning/Other,Quaker,Normal,1,77.8,0.0
Nonbinary,Bisexual,Raised Catholic and spiritual now,Short explanation,1,66.7,0.0
Nonbinary,Missing,Satan,Joke,1,33.3,55.6
Nonbinary,Queer/Questioning/Other,"Something but not an organized religion, spiritual and draw from Hinduism and Buddhism for sure",Long explanation,1,88.9,55.6
Nonbinary,Queer/Questioning/Other,Spaghetti Monster,Joke,1,0.0,66.7
Nonbinary,Queer/Questioning/Other,"Spiritual, not religious",Short explanation,1,44.4,33.3
Nonbinary,Queer/Questioning/Other,Spirituality,Normal,1,66.7,0.0
Nonbinary,Queer/Questioning/Other,Technoblade,Joke,1,88.9,44.4
Nonbinary,Queer/Questioning/Other,There's a God,Short explanation,1,100.0,100.0
Nonbinary,Bisexual,Unitarian Universalist,Normal,1,55.6,44.4
Nonbinary,Bisexual,Unsure,Other,1,55.6,33.3
Nonbinary,Bisexual,Wiccan,Unusual,1,22.2,11.1
Nonbinary,Queer/Questioning/Other,Zoroastrian,Normal,1,66.7,22.2
Nonbinary,Queer/Questioning/Other,complicated relationship with God,Short explanation,1,44.4,11.1
Nonbinary,Queer/Questioning/Other,culturally buddhist,Short explanation,1,66.7,22.2
Nonbinary,Queer/Questioning/Other,episcopalian christian,Normal,1,11.1,0.0
Nonbinary,Queer/Questioning/Other,ex-Roman Catholic,Short explanation,1,55.6,0.0
Nonbinary,Queer/Questioning/Other,i think its none of our business and i choose to not know what i think. I am ethnically jewish and follow some traditions,Long explanation,1,66.7,11.1
Nonbinary,Gay/Lesbian,pagan,Unusual,1,77.8,33.3
Nonbinary,Gay/Lesbian,quaker,Normal,1,66.7,0.0
Nonbinary,Bisexual,spiritual..? i believe in the Universe as a higher power rather than a God yk,Long explanation,1,44.4,11.1
Nonbinary,Queer/Questioning/Other,traditionalist,Other,1,44.4,55.6
