year,estimate,n_valid,sum_weight,kish_n,se,ci_low,ci_high
2020,61.02163270783535,19889,19959.366859436035,13042.237394217684,0.42704897430934563,60.184616718189034,61.85864869748167
2021,66.02791521461133,37104,37060.00149193406,24915.182305016006,0.30004946551927875,65.43981826219354,66.6160121670291
2022,62.311216768622955,44846,44787.10782265663,21812.61078664136,0.3281219993908633,61.668097649816865,62.954335887429046
2023,63.402364953955534,55101,55057.681540459394,31961.290013155776,0.2694431145257554,62.87425644948505,63.93047345842602
2024,68.49875395510207,58807,58807.00000044399,35223.14427818311,0.24750908307235334,68.01363615228027,68.9838717579239
2025,71.71052871631733,68510,68455.0199277699,36483.18068060753,0.2358074547563777,71.24834610499484,72.17271132763983
2026,68.91396598283765,62997,62996.58660746562,43294.131131406175,0.2224445485394651,68.47797466770031,69.34995729797501
