year,party_code,party,measure,estimate,n_valid,sum_weight,kish_n,se,ci_low,ci_high
2025,1,Strong Democrat,Violence,31.220546628668007,15094,14239.416701644659,7998.696524295039,0.5181315062918117,30.205008876336052,32.236084380999955
2025,1,Strong Democrat,Shoutdown,77.93131155960809,15094,14239.416701644659,7998.696524295039,0.46369738269307303,77.02246468952967,78.84015842968653
2025,2,Democrat,Violence,31.506696687971065,10648,9976.542948514223,5620.904186765759,0.6196156818822321,30.292249951481885,32.721143424460244
2025,2,Democrat,Shoutdown,76.13160912403868,10648,9976.542948514223,5620.904186765759,0.5685792208867144,75.01719385110071,77.24602439697664
2025,3,Lean Democrat,Violence,30.72019530795399,11473,11400.073228985071,6063.406240951944,0.5924571981337785,29.558979199611784,31.881411416296196
2025,3,Lean Democrat,Shoutdown,76.23257117026763,11473,11400.073228985071,6063.406240951944,0.54664206937951,75.16115271428379,77.30398962625146
2025,4,Independent,Violence,38.11281954643938,10210,10980.413654834032,5476.939723916535,0.6562463593464409,36.82657668212036,39.39906241075841
2025,4,Independent,Shoutdown,69.56237868900406,10210,10980.413654834032,5476.939723916535,0.6217611557613163,68.34372682371189,70.78103055429624
2025,5,Lean Republican,Violence,29.242980411551706,4870,4988.395417034626,2643.581576951889,0.8847065121609445,27.508955647716256,30.977005175387156
2025,5,Lean Republican,Shoutdown,61.205386368633356,4870,4988.395417034626,2643.581576951889,0.9477290197894518,59.34783748984602,63.06293524742068
2025,6,Republican,Violence,31.971993402574526,4906,4807.066442638636,2682.202701076257,0.9004983723221279,30.207016592823155,33.7369702123259
2025,6,Republican,Shoutdown,62.04757449844456,4906,4807.066442638636,2682.202701076257,0.9369930617631238,60.21106809738883,63.88408089950028
2025,7,Strong Republican,Violence,35.37801018142013,5201,4639.117610126734,2859.277031628058,0.8941878134763173,33.62540206700655,37.13061829583372
2025,7,Strong Republican,Shoutdown,57.32079702059757,5201,4639.117610126734,2859.277031628058,0.9249880938323064,55.507820356686246,59.133773684508895
2026,1,Strong Democrat,Violence,29.774252682266244,15263,14460.066921339407,10985.955605975021,0.4362643242399284,28.919174606755988,30.6293307577765
2026,1,Strong Democrat,Shoutdown,76.36124941891654,15263,14460.066921339407,10985.955605975021,0.4053496964635219,75.56676401384804,77.15573482398504
2026,2,Democrat,Violence,28.55248364823146,9689,8951.797781090634,6398.08605212906,0.5646644879003172,27.44574125194684,29.65922604451608
2026,2,Democrat,Shoutdown,73.29730794991957,9689,8951.797781090634,6398.08605212906,0.5530908799029806,72.21324982530972,74.38136607452941
2026,3,Lean Democrat,Violence,27.05800666920361,11294,11315.375239986366,7804.082211607649,0.5028932373990219,26.07233592390153,28.04367741450569
2026,3,Lean Democrat,Shoutdown,72.2469261252116,11294,11315.375239986366,7804.082211607649,0.5068790188803732,71.25344324820607,73.24040900221715
2026,4,Independent,Violence,34.87928344211758,10806,11706.566742147079,7190.441216513741,0.5620378870016526,33.77768918359435,35.98087770064082
2026,4,Independent,Shoutdown,64.98330180027881,10806,11706.566742147079,7190.441216513741,0.5625494617656341,63.88070485521817,66.08589874533945
2026,5,Lean Republican,Violence,25.29944185127455,4558,4809.6478510014185,3148.398017803077,0.7747696115748176,23.780893412587908,26.81799028996119
2026,5,Lean Republican,Shoutdown,57.37725243237165,4558,4809.6478510014185,3148.398017803077,0.8813446645272119,55.64981688989832,59.104687974844985
2026,6,Republican,Violence,30.20332114316072,3928,3826.657347303048,2755.82425762108,0.874619125458344,28.489067657262368,31.917574629059075
2026,6,Republican,Shoutdown,58.59380502867572,3928,3826.657347303048,2755.82425762108,0.9382806345552126,56.754774984947495,60.43283507240393
2026,7,Strong Republican,Violence,32.34461401669416,3310,3171.444637199036,2406.3071436087725,0.9536228402175039,30.475513249867852,34.21371478352047
2026,7,Strong Republican,Shoutdown,53.49477075485189,3311,3171.8556899568594,2406.833657534565,1.0166782251542033,51.50208143354965,55.487460076154136
