year,n_complete,weighted_left_tolerance,weighted_right_tolerance
2021,33298,51.61964312165287,32.01960005144363
2022,38119,59.88640575158402,34.13462614394293
2023,46886,58.77534567459842,36.20660749028954
2024,48781,48.21992155586072,39.73601775756579
2025,59840,41.66630716812821,34.40618759520242
2026,56779,41.16817441708974,33.529789948806126
