year,estimate,n_valid,sum_weight,kish_n,se,ci_low,ci_high
2020,17.945047401211607,19899,19963.480804234743,13048.381539841179,0.3359281365195545,17.286628253633282,18.603466548789935
2021,23.808045912021676,37104,37060.00149193406,24915.182305016006,0.26982637389468234,23.2791862191881,24.336905604855254
2022,20.357292807021214,44847,44788.41302263737,21813.478052724477,0.2726280643183239,19.8229418009573,20.89164381308513
2023,26.908240643035196,55102,55058.09028446674,31961.708269586135,0.2480629292472507,26.42203730171059,27.394443984359807
2024,31.787738255034036,58807,58807.00000044399,35223.14427818311,0.24811154793155324,31.301439621088196,32.27403688897988
2025,33.62234355234491,68510,68455.0199277699,36483.18068060753,0.2473310272180458,33.137574738997536,34.107112365692274
2026,30.486167570801033,62996,62996.17555470781,43293.6459468903,0.2212457576647412,30.052525885778138,30.919809255823928
