year,question,estimate,n_valid,sum_weight,kish_n,se,ci_low,ci_high
2020,Publicly disagree with a professor,2.381293377448411,19935,19991.67175269127,13072.429827245072,0.008601774312372452,2.364433899796161,2.398152855100661
2020,Express views in class,2.8356180950984036,19934,19995.933015674353,13074.44358183016,0.007871438214297876,2.82019007619838,2.8510461139984273
2020,Post an unpopular opinion on social media,2.201859761204124,19915,19969.40991076827,13058.620701147374,0.00863989210938322,2.1849255726697328,2.218793949738515
2021,Publicly disagree with a professor,2.2718028088890083,37104,37060.00149193406,24915.182305016006,0.006106403960309987,2.259834257126801,2.2837713606512158
2021,Disagree in a written assignment,2.6520063245747707,37104,37060.00149193406,24915.182305016006,0.0059357894046911325,2.6403721773415763,2.663640471807965
2021,Express views in class,2.496394016108397,37104,37060.00149193406,24915.182305016006,0.006160850319128415,2.484318749482905,2.5084692827338886
2021,Discuss views in a campus common space,2.6814565234112253,37104,37060.00149193406,24915.182305016006,0.00609685948163906,2.669506678827213,2.693406367995238
2021,Post an unpopular opinion on social media,2.2481495651456265,37104,37060.00149193406,24915.182305016006,0.0063377366841734315,2.2357276012446468,2.260571529046606
2022,Publicly disagree with a professor,2.276330907088293,44847,44788.41302263737,21813.478052724477,0.0066238377897639075,2.263348185020356,2.28931362915623
2022,Disagree in a written assignment,2.6564627719928113,44846,44787.10782265663,21812.61078664136,0.006387157366118158,2.64394394355522,2.668981600430403
2022,Express views in class,2.496139419365959,44846,44787.10782265663,21812.61078664136,0.006638964950059563,2.4831270480638423,2.509151790668076
2022,Discuss views in a campus common space,2.7037898894597414,44847,44788.41302263737,21813.478052724477,0.00647360416319223,2.6911016252998845,2.7164781536195983
2022,Post an unpopular opinion on social media,2.2635944923113764,44847,44788.41302263737,21813.478052724477,0.00686674050001339,2.25013568093135,2.2770533036914027
2023,Publicly disagree with a professor,2.0773395761669873,55102,55058.09028446674,31961.708269586135,0.005326202500065855,2.0669002192668584,2.087778933067116
2023,Disagree in a written assignment,2.3909392627849684,55102,55058.09028446674,31961.708269586135,0.00539886294399544,2.3803574914147374,2.4015210341551994
2023,Express views in class,2.301154381847104,55102,55058.09028446674,31961.708269586135,0.005332415346278048,2.290702847768399,2.311605915925809
2023,Discuss views in a campus common space,2.420376558094158,55102,55058.09028446674,31961.708269586135,0.005357097446337581,2.4098766470993365,2.4308764690889797
2023,Post an unpopular opinion on social media,2.019121654907896,55102,55058.09028446674,31961.708269586135,0.005356376042259092,2.008623157865068,2.029620151950724
2024,Publicly disagree with a professor,2.245201386949923,58807,58807.00000044399,35223.14427818311,0.005071260662287104,2.2352617160518404,2.2551410578480056
2024,Disagree in a written assignment,2.4730270541966264,58807,58807.00000044399,35223.14427818311,0.00506429102178731,2.463101043793923,2.4829530645993296
2024,Express views in class,2.4000144284928737,58807,58807.00000044399,35223.14427818311,0.005005926113204363,2.390202813310993,2.4098260436747543
2024,Discuss views in a campus common space,2.4719558512041333,58807,58807.00000044399,35223.14427818311,0.005010318136060707,2.4621356276574544,2.481776074750812
2024,Post an unpopular opinion on social media,2.104678910721845,58807,58807.00000044399,35223.14427818311,0.005138253451929318,2.0946079339560635,2.1147498874876263
2025,Publicly disagree with a professor,2.2690466719911977,68510,68455.0199277699,36483.18068060753,0.004854430423083121,2.259531988361955,2.2785613556204405
2025,Disagree in a written assignment,2.4828063064262547,68510,68455.0199277699,36483.18068060753,0.004773057468605523,2.473451113787788,2.4921614990647214
2025,Express views in class,2.437462028508387,68510,68455.0199277699,36483.18068060753,0.00472565280098505,2.428199749018456,2.4467243079983176
2025,Discuss views in a campus common space,2.5169501924040665,68510,68455.0199277699,36483.18068060753,0.004853858607373096,2.5074366295336152,2.5264637552745177
2025,Post an unpopular opinion on social media,2.1201277105142706,68510,68455.0199277699,36483.18068060753,0.004918032884295159,2.1104883660610523,2.129767054967489
2026,Publicly disagree with a professor,2.3499635853687124,62995,62995.250621316154,43292.77869650934,0.00448695323609597,2.3411691570259645,2.3587580137114603
2026,Disagree in a written assignment,2.5516755324900107,62996,62996.17555470781,43293.6459468903,0.004351305435457034,2.5431469738365147,2.5602040911435067
2026,Express views in class,2.516480918719745,62996,62996.17555470781,43293.6459468903,0.004341922371260255,2.507970750872075,2.5249910865674154
2026,Discuss views in a campus common space,2.623284471963114,62996,62996.17555470781,43293.6459468903,0.004376598498020952,2.6147063389069927,2.631862605019235
2026,Post an unpopular opinion on social media,2.197461928888945,62995,62994.590542318656,43292.333508836666,0.004546643513564231,2.188550507602359,2.206373350175531
