ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
202,University of Missouri-St Louis,"University of Missouri, St Louis",No,,,,,,,,No,,,,,Not Applicable,17,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
203,University of Nebraska-Lincoln,University of Nebraska,No,,,,,,,,No,,,,,Not Applicable,172,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
204,University of Nevada-Las Vegas,"University of Nevada, Las Vegas",No,,,,,,,,No,,,,,Not Applicable,94,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
205,University of Nevada-Reno,"University of Nevada, Reno",No,,,,,,,,No,,,,,Not Applicable,87,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
206,University of New Hampshire-Main Campus,University of New Hampshire,Yes,Yes,5/1/2024,https://newhampshirebulletin.com/2024/04/26/as-unh-hosts-rally-against-gaza-war-lawmakers-weigh-campus-free-speech-protections/,https://www.seacoastonline.com/story/news/local/2024/05/01/police-at-unh-arrest-pro-palestine-protesters-setting-up-encampment/73533948007/,,,,Yes,12.0,https://www.nhpr.org/nh-news/2024-05-02/students-faculty-react-after-tense-night-on-college-campuses-in-nh,Yes,5/1/24,Yes,3,Green,matched_to_cfsr2025,1,,,,reviewed_ok
207,University of New Mexico-Main Campus,University of New Mexico,Yes,,4/23/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.kunm.org/local-news/2024-04-30/state-police-arrest-pro-palestinian-protestors-at-unm,https://twitter.com/majerle_lister/status/1782517145966133282,,,Yes,16.0,"https://www.kob.com/new-mexico/pro-palestine-protesters-clash-with-police-overnight-at-unm/#:~:text=They%20saw%20at%20least%20four,wrongful%20use%20of%20public%20property.",,4/29/24,Yes,227,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
208,University of North Carolina at Chapel Hill,"University of North Carolina, Chapel Hill",Yes,,4/19/2024,https://www.dailytarheel.com/article/2024/04/university-breaking-arrests-encampment,https://twitter.com/dailytarheel/status/1783868293465641403,https://twitter.com/UNC_SJP/status/1781511377615515917,,,Yes,36.0,https://www.newsobserver.com/news/local/education/article288140730.html,,4/30/24,Yes,174,Green,matched_to_cfsr2025,1,,,,reviewed_ok
209,University of North Carolina at Charlotte,"University of North Carolina, Charlotte",Yes,,4/22/2024,https://www.wral.com/story/unc-protesters-and-police-clash-after-american-flag-replaced-with-palestinian-flag-during-protests-tuesday/21405640/,,https://twitter.com/UNC_SJP/status/1782430005311467929,,,Yes,1.0,https://www.wbtv.com/2024/05/07/arrest-made-pro-palestine-encampment-unc-charlotte-campus/,Yes,5/7/24,Yes,21,Green,matched_to_cfsr2025,1,,,,reviewed_ok
210,University of North Carolina at Greensboro,"University of North Carolina, Greensboro",No,,,,,,,,No,,,,,Not Applicable,9,Green,matched_to_cfsr2025,1,,,,reviewed_ok
211,University of North Texas,University of North Texas,No,,,,,,,,No,,,,,Not Applicable,221,Yellow,matched_to_cfsr2025,0,,,,
