ta,University,University_original,Encampment?,Encampment after 5/1 at 5pm eastern time,Encampment protest start date,News link 1,News link 2,Link 3,Link 4,Notes,Arrests?,Number Arrested,Link for arrest stat,Arrests new since 5/1 at 4pm eastern time,Arrests date,Police Involved?,2024 cfsr_ranking,FIRE spotlight_rating,University_match_status,University_name_changed,University_manual_anyyear_match,University_manual_anyyear_years,University_manual_note,University_manual_reviewed
1,American University,American University,No,,,,,,,,No,,,,,Not Applicable,,,matched_to_cfsr2025,0,,,,
2,Amherst College,Amherst College,No,,,,,,,,No,,,,,Not Applicable,195,Yellow,matched_to_cfsr2025,0,,,,
3,Appalachian State University,Appalachian State University,No,,,,,,,,No,,,,,Not Applicable,36,Green,matched_to_cfsr2025,0,,,,
4,Arizona State University-Tempe,Arizona State University,Yes,,4/26/2024,https://www.fox10phoenix.com/news/pro-palestinian-protesters-gather-on-arizona-state-universitys-tempe-campus,,,,,Yes,72.0,https://www.azcentral.com/story/news/local/tempe/2024/05/01/gaza-protests-who-was-arrested-at-asu/73523153007/,,4/27/24,Yes,77,Green,matched_to_cfsr2025,1,,,,reviewed_ok
5,Arkansas State University-Main Campus,Arkansas State University,No,,,https://www.arkansasonline.com/news/2024/mar/09/dozens-of-people-on-university-of-arkansas-campus/,,,,,No,,,,,Not Applicable,35,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
6,Auburn University,Auburn University,No,,,,,,,,No,,,,,Not Applicable,2,Green,matched_to_cfsr2025,0,,,,
7,Bard College,Bard College,Yes,Yes,5/8/2024,https://www.dailyfreeman.com/2024/05/08/student-activists-begin-pro-palestinian-encampment-at-bard-college/,,,,,No,,,,,No,200,Yellow,matched_to_cfsr2025,0,,,,
8,Barnard College,Barnard College,Yes,,4/19/2024,https://www.columbiaspectator.com/news/2024/04/23/over-100-faculty-members-protest-in-rally-to-support-our-students-and-reclaim-our-university/,,,,at columbia,Yes,217.0,same as Columbia,,various,Yes,164,Yellow,matched_to_cfsr2025,0,,,,
9,Bates College,Bates College,No,,,,,,,,No,,,,,Not Applicable,213,Red,matched_to_cfsr2025,0,,,,
10,Baylor University,Baylor University,No,,,,,,,,No,,,,,Not Applicable,Warning,Warning,no_cfsr2025_match_found,0,Baylor University,"2021, 2022, 2023, 2024","Exact match in CFSR, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
11,Berea College,Berea College,No,,,,,,,,No,,,,,Not Applicable,161,Yellow,matched_to_cfsr2025,0,,,,
12,Binghamton University,Binghamton University,Yes,Yes,5/2/2024,https://www.wskg.org/regional-news/2024-05-02/binghamton-university-students-set-up-pro-palestinian-encampment-molinaro-condemns-it,,,,,No,,,,,No,228,Yellow,matched_to_cfsr2025,0,,,,
13,Boise State University,Boise State University,No,,,,,,,encampment attempted off campus (at capitol?),No,,,,,Not Applicable,68,Yellow,matched_to_cfsr2025,0,,,,
14,Boston College,Boston College,No,,,https://www.bcheights.com/2024/04/26/bostoncollegecommunitymembers-gather-on-oneill-plaza-for-pro-palestine-protest/,,,,protest,No,,,,,No,229,Red,matched_to_cfsr2025,0,,,,
15,Boston University,Boston University,No,,,https://twitter.com/MaddieKhaw/status/1781367588099940470,,https://twitter.com/MaddieKhaw/status/1781367588099940470,,walkout on 4/19/24,No,,,,,No,152,Red,matched_to_cfsr2025,0,,,,
16,Bowdoin College,Bowdoin College,No,,,,,,,,No,,,,,Not Applicable,122,Yellow,matched_to_cfsr2025,0,,,,
17,Bowling Green State University-Main Campus,Bowling Green State University,No,,,,,,,,No,,,,,Not Applicable,203,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
18,Brandeis University,Brandeis University,No,,,,,,,,No,,,,,Not Applicable,138,Yellow,matched_to_cfsr2025,0,,,,
19,Brigham Young University,Brigham Young University,No,,,,,,,,No,,,,,Not Applicable,Warning,Warning,no_cfsr2025_match_found,0,Brigham Young University-Provo,"2020, 2021, 2022, 2023, 2024","Confident campus-specific match, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
20,Brown University,Brown University,Yes,,4/24/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://x.com/the_herald/status/1783084293444493727?s=46,,,No,,,,,No,69,Yellow,matched_to_cfsr2025,0,,,,
21,Bucknell University,Bucknell University,No,,,,,,,,No,,,,,Not Applicable,104,Yellow,matched_to_cfsr2025,0,,,,
22,California Institute of Technology,California Institute of Technology,No,,,,,,,,No,,,,,Not Applicable,144,Red,matched_to_cfsr2025,0,,,,
23,California Polytechnic State University-San Luis Obispo,California Polytechnic State University,No,,,https://www.kcbx.org/central-coast-news/2024-05-24/pro-palestine-protestors-arrested-at-cal-poly-after-blocking-roadway,https://www.sanluisobispo.com/news/local/crime/article288690040.html,,,"8 arrested, but for protest, not encampment",No,,,,,Not Applicable,165,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
24,California State University-Fresno,"California State University, Fresno",No,,,,,,,,No,,,,,Not Applicable,92,Red,matched_to_cfsr2025,1,,,,reviewed_ok
25,California State University-Los Angeles,"California State University, Los Angeles",Yes,Yes,5/1/2024,,,https://twitter.com/PplsCityCouncil/status/1785794208923804012,,,No,,,,,No,33,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
26,Carleton College,Carleton College,Yes,Yes,5/9/2024,https://thecarletonian.com/19216/news/19216/,,,,,No,,,,,No,156,Red,matched_to_cfsr2025,0,,,,
27,Carnegie Mellon University,Carnegie Mellon University,No,,,,,,,,No,,,,,Not Applicable,23,Yellow,matched_to_cfsr2025,0,,,,
28,Case Western Reserve University,Case Western Reserve University,Yes,,4/29/2024,https://www.news5cleveland.com/news/local-news/police-break-up-anti-war-protest-encampment-on-case-western-reserve-university-campus,https://www.cleveland.com/education/2024/04/police-detain-more-than-20-students-during-protests-at-case-over-israeli-hamas-war.html,https://twitter.com/WorstLightskin/status/1784942884396924928,,"20 students detained, not arrested on 4/29",No,,,,,Yes,128,Red,matched_to_cfsr2025,0,,,,
29,Central Michigan University,Central Michigan University,No,,,,,,,,No,,,,,Not Applicable,236,Yellow,matched_to_cfsr2025,0,,,,
30,Chapman University,Chapman University,Yes,Yes,5/3/2024,https://abc7.com/chapman-university-students-set-up-pro-palestinian-encampment-on-campus/14758689/,,,,,No,,,,,No,199,Red,matched_to_cfsr2025,0,,,,
31,Claremont McKenna College,Claremont McKenna College,Yes,,4/26/2024,https://claremont-courier.com/schools/demonstrations-halt-claremont-colleges-alumni-festivities-77608/,,,,,No,,,,,No,73,Green,matched_to_cfsr2025,0,,,,
32,Clark University,Clark University,No,,,,,,,,No,,,,,Not Applicable,188,Red,matched_to_cfsr2025,0,,,,
33,Clarkson University,Clarkson University,No,,,,,,,,No,,,,,Not Applicable,71,Red,matched_to_cfsr2025,0,,,,
34,Clemson University,Clemson University,No,,,,,,,,No,,,,,Not Applicable,62,Yellow,matched_to_cfsr2025,0,,,,
35,Colby College,Colby College,No,,,,,,,,No,,,,,Not Applicable,139,Yellow,matched_to_cfsr2025,0,,,,
36,Colgate University,Colgate University,No,,,,,,,,No,,,,,Not Applicable,209,Red,matched_to_cfsr2025,0,,,,
37,College of Charleston,College of Charleston,No,,,,,,,,No,,,,,Not Applicable,34,Yellow,matched_to_cfsr2025,0,,,,
38,Colorado College,Colorado College,Yes,Yes,5/2/24,https://thecatalystnews.com/2024/05/02/live-updates-of-ongoing-protests-at-colorado-college/,,,,,No,,,,,No,175,Yellow,matched_to_cfsr2025,0,,,,
39,Colorado School of Mines,Colorado School of Mines,No,,,,,,,,No,,,,,Not Applicable,44,Yellow,matched_to_cfsr2025,0,,,,
40,Colorado State University-Fort Collins,Colorado State University,No,,,https://collegian.com/articles/news/2024/05/category-news-campus-protests-continue-calling-for-ceasefire-in-gaza/,,,,protests,No,,,,,Not Applicable,74,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
41,Columbia University in the City of New York,Columbia University,Yes,,4/19/2024,https://apnews.com/article/gaza-war-campus-protests-966eb531279f8e4381883fc5d79d5466,https://www.nytimes.com/2024/04/22/us/columbia-protests-encampment.html,https://twitter.com/BTnewsroom/status/1781008786850803775,,,Yes,217.0,https://www.nytimes.com/interactive/2024/us/pro-palestinian-college-protests-encampments.html,,various,Yes,214,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
42,Connecticut College,Connecticut College,No,,,,,,,,No,,,,,Not Applicable,180,Red,matched_to_cfsr2025,0,,,,
43,Cornell University,Cornell University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/taliaotg/status/1783463225205407912,,,No,,,,,No,212,Yellow,matched_to_cfsr2025,0,,,,
44,Creighton University,Creighton University,No,,,,,,,,No,,,,,Not Applicable,191,Red,matched_to_cfsr2025,0,,,,
45,Dakota State University,Dakota State University,No,,,,,,,,No,,,,,Not Applicable,,,matched_to_cfsr2025,0,,,,
46,Dartmouth College,Dartmouth College,Yes,Yes,5/1/2024,https://www.concordmonitor.com/Where-Are-Dartmouth-Protesters-54930075,https://www.vnews.com/Dartmouth-protest-for-Palestine-amidst-greater-campus-upheaval-54888304,https://www.bostonglobe.com/2024/05/01/metro/before-pro-palestinian-encampent-begins-dartmouth-warns-students-they-could-be-expelled-participating/,,,Yes,89.0,"https://www.mynbc5.com/article/hanover-arrests-dartmouth-college-encampment/60722064#:~:text=HANOVER%2C%20N.H.%20%E2%80%94&text=pro%2DPalestinian%20demonstration.-,According%20to%20police%2C%20a%20total%20of%2089%20people%20were%20arrested,encampment%20on%20the%20Dartmouth%20lawn.&text=Advertisement-,Police%20said%20the%20protesters%20were%20taken%20into%20custody,issued%20repeated%20warnings%20to%20move.",Yes,5/1/24,Yes,240,Yellow,matched_to_cfsr2025,0,,,,
47,Davidson College,Davidson College,No,,,,,,,,No,,,,,Not Applicable,64,Yellow,matched_to_cfsr2025,0,,,,
48,Denison University,Denison University,No,,,,,,,,No,,,,,Not Applicable,170,Red,matched_to_cfsr2025,0,,,,
49,DePaul University,DePaul University,Yes,,4/30/2024,https://www.nbcchicago.com/news/local/depaul-joins-nationwide-pro-palestinian-college-protests-encampment-continues-university-chicago/3424943/,,,,"2 arrested after, but not from encampment",No,,,,,No,65,Yellow,matched_to_cfsr2025,0,,,,
50,DePauw University,DePauw University,No,,,,,,,,No,,,,,Not Applicable,41,Green,matched_to_cfsr2025,0,,,,
51,Drexel University,Drexel University,Yes,Yes,5/18/2024,https://www.fox29.com/news/pro-palestinian-protesters-set-encampment-at-drexel-university-in-2nd-night-of-chaos,https://drexel.edu/president/messages/message/2024/May/Ending-the-Encampment-on-Drexel-Campus,https://www.inquirer.com/news/philadelphia/protest-drexel-campus-palestine-penn-university-city-20240518.html,,protest,No,,,,,No,91,Red,matched_to_cfsr2025,0,,,,
52,Duke University,Duke University,No,,,https://www.dukechronicle.com/article/2024/04/duke-university-israel-hamas-war-encampments-protests-on-college-campuses-student-arrests-oct-7th-attacks-comparison,,,,protest,No,,,,,No,124,Green,matched_to_cfsr2025,0,,,,
53,Duquesne University,Duquesne University,No,,,,,,,,No,,,,,Not Applicable,241,Yellow,matched_to_cfsr2025,0,,,,
54,East Carolina University,East Carolina University,No,,,,,,,,No,,,,,Not Applicable,24,Green,matched_to_cfsr2025,0,,,,
55,Eastern Kentucky University,Eastern Kentucky University,No,,,,,,,,No,,,,,Not Applicable,15,Green,matched_to_cfsr2025,0,,,,
56,Eastern Michigan University,Eastern Michigan University,No,,,,,,,,No,,,,,Not Applicable,95,Yellow,matched_to_cfsr2025,0,,,,
57,Emory University,Emory University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://mondoweiss.net/2024/04/we-are-occupying-emory-university-to-demand-immediate-divestment-from-israel-and-cop-city/,https://www.instagram.com/p/C6L1WkLub56/?igsh=MTdtbHpjaHY3N2M5OQ==,,In link 2 they say that these students are gathered througth Atlanta,Yes,28.0,"https://www.fox5atlanta.com/news/emory-protests-review-pro-palestine-rally-arrests-gaza#:~:text=During%20the%20chaos%2C%20police%20arrested,by%20Georgia%20State%20Patrol%20Troopers.&text=In%20the%20days%20following%20the%20arrest%2C%20Emory%20President%20Gregory%20L.",,4/25/24,Yes,202,Green,matched_to_cfsr2025,0,,,,
58,Florida International University,Florida International University,No,,,https://www.algemeiner.com/2024/04/19/police-stop-anti-zionist-agitators-accessing-florida-university-presidents-home-students-revolt-nationwide/,4/19/2024,,,protest,No,,,,,Yes,46,Yellow,matched_to_cfsr2025,0,,,,
59,Florida State University,Florida State University,Yes,,4/30/2024,https://www.tallahassee.com/story/news/local/fsu-news/2024/04/25/students-protest-at-fsu-during-nations-college-campus-encampments/73452131007/,https://www.tallahassee.com/story/news/politics/2024/04/30/pro-palestinian-protesters-arrested-at-fsu-other-florida-campuses/73516465007/,https://twitter.com/TallySDS/status/1783466310812184953,,,Yes,5.0,https://www.tallahassee.com/story/news/politics/2024/04/30/pro-palestinian-protesters-arrested-at-fsu-other-florida-campuses/73516465007/,,4/30/24,Yes,5,Green,matched_to_cfsr2025,0,,,,
60,Fordham University,Fordham University,Yes,,4/26/2024,https://fordhamobserver.com/76480/recent/news/breaking-fordham-sjp-begins-gaza-solidarity-encampment/,https://nypost.com/2024/05/01/us-news/anti-israel-university-protests-live-updates-latest-news-from-columbia-more-colleges/,https://www.nbcnewyork.com/news/local/pro-palestinian-encampment-set-up-inside-fordham-at-lincoln-center-campus/5373755/,,,Yes,15.0,https://www.nbcnewyork.com/news/local/pro-palestinian-encampment-set-up-inside-fordham-at-lincoln-center-campus/5373755/,Yes,5/1/24,Yes,244,Red,matched_to_cfsr2025,0,,,,
61,Franklin and Marshall College,Franklin and Marshall College,No,,,,,,,,No,,,,,Not Applicable,219,Yellow,matched_to_cfsr2025,0,,,,
62,Furman,Furman University,No,,,,,,,,No,,,,,Not Applicable,163,Red,matched_to_cfsr2025,1,,,,reviewed_ok
63,George Mason University,George Mason University,No,,,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,4/25/2024,https://twitter.com/Sprinterfactory/status/1783763516266357221,,with GWU,No,,,,,No,8,Green,matched_to_cfsr2025,0,,,,
64,George Washington University,George Washington University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://gwhatchet.com/2024/04/29/with-barricades-overrun-encampment-marches-into-day-five/,https://twitter.com/Sprinterfactory/status/1783763516266357221,https://twitter.com/rquealy17/status/1783450204231893115,,Yes,33.0,https://apnews.com/article/campus-protests-george-washington-encampment-eac5c1cc396551bee1b110b48a94aefd,Yes,5/8/24,Yes,185,Yellow,matched_to_cfsr2025,0,,,,
65,Georgetown University,Georgetown University,No,,,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,4/25/2024,https://twitter.com/PAME_Greece/status/1783786213679226952,,with GWU; walkout/protest,No,,,,,No,245,Red,matched_to_cfsr2025,0,,,,
66,Georgia Institute of Technology-Main Campus,Georgia Institute of Technology,No,,,https://www.11alive.com/article/news/nation-world/israel-hamas-conflict/atlanta-georgia-tech-kennesaw-state-pro-palestinian-rallies-walkouts-planned/85-240ea122-820a-4815-a46f-839201d6a5f5,4/24/2024,,,protest,No,,,,,No,27,Green,matched_to_cfsr2025,1,,,,reviewed_ok
67,Georgia State University,Georgia State University,No,,,,,,,,No,,,,,Not Applicable,119,Yellow,matched_to_cfsr2025,0,,,,
68,Gettysburg College,Gettysburg College,No,,,,,,,,No,,,,,Not Applicable,217,Yellow,matched_to_cfsr2025,0,,,,
69,Grinnell College,Grinnell College,No,,,,,,,,No,,,,,Not Applicable,226,Red,matched_to_cfsr2025,0,,,,
70,Hamilton College,Hamilton College,No,,,,,,,,No,,,,,Not Applicable,131,Yellow,matched_to_cfsr2025,0,,,,
71,Harvard University,Harvard University,Yes,,4/24/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/joycekim324/status/1783174818977726714,,,No,,,,,No,248,Yellow,matched_to_cfsr2025,0,,,,
72,Harvey Mudd College,Harvey Mudd College,Yes,,4/26/2024,https://claremont-courier.com/schools/demonstrations-halt-claremont-colleges-alumni-festivities-77608/,,,,,No,,,,,No,179,Yellow,matched_to_cfsr2025,0,,,,
73,Haverford College,Haverford College,Yes,,4/26/2024,https://www.inquirer.com/education/palestine-protests-encampments-upenn-haverford-20240426.html,,,,,No,,,,,No,208,Red,matched_to_cfsr2025,0,,,,
74,Hillsdale College,Hillsdale College,No,,,,,,,,No,,,,,Not Applicable,Warning,Warning,no_cfsr2025_match_found,0,Hillsdale College,"2021, 2022, 2023, 2024","Exact match in CFSR, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
75,Howard University,Howard University,No,,,https://www.washingtonian.com/2024/04/25/dc-area-college-students-protest-gaza-war-at-george-washington-university-encampment/,4/25/2024,,,involved with GW encampment,No,,,,,No,85,Red,matched_to_cfsr2025,0,,,,
76,Illinois Institute of Technology,Illinois Institute of Technology,No,,,,,,,,No,,,,,Not Applicable,42,Red,matched_to_cfsr2025,0,,,,
77,Illinois State University,Illinois State University,Yes,,4/30/24,https://www.wglt.org/local-news/2024-04-30/isu-students-set-up-pro-palestinian-tent-encampment-on-quad,,,,students arrested for sit in after meeting with univ. president,No,,,,,No,110,Yellow,matched_to_cfsr2025,0,,,,
78,Indiana University-Bloomington,Indiana University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://thedepauw.com/police-authorities-arrest-34-pro-palestinian-protestors-at-iu-bloomington/,https://x.com/andrew_mmiller/status/1783511148278485218,,,Yes,57.0,"https://fox59.com/indiana-news/detailed-breakdown-high-tensions-policy-confusion-led-to-protestor-clash-at-indiana-university/#:~:text=In%20total%2C%2057%20protestors%20would,versus%20lawful%20and%20safe%20assembly.",,various,Yes,225,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
79,Indiana University Purdue University,Indiana University Purdue University,Yes,Yes,5/2/2024,https://www.thecampuscitizen.com/article/2024/05/iupui-students-set-up-encampment-following-movement-of-universities-across-the-u-s,,,,,No,,,,,No,54,Yellow,no_cfsr2025_match_found,0,Indiana University Purdue University Indianapolis,2023,"Confident IUPUI/Indianapolis match, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
80,Iowa State University,Iowa State University,No,,,,,,,,No,,,,,Not Applicable,45,Yellow,matched_to_cfsr2025,0,,,,
81,James Madison University,James Madison University,No,,,,,,,,No,,,,,Not Applicable,26,Yellow,matched_to_cfsr2025,0,,,,
82,Johns Hopkins University,Johns Hopkins University,Yes,,4/29/2024,https://www.cbsnews.com/baltimore/news/pro-palestinian-protesters-chant-sing-despite-being-told-to-leave-at-johns-hopkins-university/,https://www.wypr.org/wypr-news/2024-04-25/johns-hopkins-students-join-nationwide-protests-for-palestine-liberation,,,,No,,,,,No,58,Yellow,matched_to_cfsr2025,0,,,,
83,Kansas State University,Kansas State University,No,,,,,,,,No,,,,,Not Applicable,18,Green,matched_to_cfsr2025,0,,,,
84,Kent State University at Kent,Kent State University,No,,,,,,,,No,,,,,Not Applicable,113,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
85,Kenyon College,Kenyon College,No,,,,,,,,No,,,,,Not Applicable,70,Yellow,matched_to_cfsr2025,0,,,,
86,Knox College,Knox College,No,,,,,,,,No,,,,,Not Applicable,137,Yellow,matched_to_cfsr2025,0,,,,
87,Lafayette College,Lafayette College,No,,,,,,,,No,,,,,Not Applicable,218,Red,matched_to_cfsr2025,0,,,,
88,Lehigh University,Lehigh University,No,,,,,,,,No,,,,,Not Applicable,148,Red,matched_to_cfsr2025,0,,,,
89,Liberty University,Liberty University,No,,,,,,,,No,,,,,Not Applicable,Warning,Warning,no_cfsr2025_match_found,0,Liberty University,"2023, 2024","Exact match in CFSR, but no 2025 rows, so not usable for 2025 leaning-bin plot.",reviewed_no_2025_match
90,Louisiana State University and Agricultural & Mechanical College,Louisiana State University,No,,,https://www.lsureveille.com/news/lsu-students-hold-die-in-for-gaza-to-encourage-lsu-louisiana-to-withdraw-support-of/article_a049228c-04b8-11ef-b283-438e84187066.html,4/25/2024,,,protest,No,,,,,No,140,Red,matched_to_cfsr2025,1,,,,reviewed_ok
91,Loyola University Chicago,"Loyola University, Chicago",No,,,https://loyolaphoenix.com/2024/04/loyola-students-protest-the-universitys-investments-in-genocidal-corporations/,4/22/2024,,,protest,No,,,,,No,193,Red,matched_to_cfsr2025,1,,,,reviewed_ok
92,Macalester College,Macalester College,No,,,,,,,,No,,,,,Not Applicable,211,Red,matched_to_cfsr2025,0,,,,
93,Marquette University,Marquette University,No,,,,,,,,No,,,,,Not Applicable,230,Red,matched_to_cfsr2025,0,,,,
94,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Yes,,4/21/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/still_francesca/status/1782214888296730934,,,Yes,10.0,https://www.nytimes.com/2024/05/09/us/mit-police-protesters-arrests.html,Yes,5/10/24,Yes,136,Yellow,matched_to_cfsr2025,0,,,,
95,Miami University-Oxford,Miami University,Yes,Yes,5/2/2024,https://www.journal-news.com/news/miami-university-students-start-pro-palestine-encampment-on-oxford-campus/PZFNJ45BVFB4JMVRBDFHLYDHNY/,,https://twitter.com/OHIOStudents/status/1781362090009108830,,,No,,,,,No,102,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
96,Michigan State University,Michigan State University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.bridgemi.com/talent-education/pro-palestinian-protests-spread-michigan-state-amid-nationwide-arrests,https://twitter.com/ScheerTheoJRN/status/1783485778607091864,,,No,,,,,No,159,Yellow,matched_to_cfsr2025,0,,,,
97,Michigan Technological University,Michigan Technological University,No,,,,,,,,No,,,,,Not Applicable,1,Green,matched_to_cfsr2025,0,,,,
98,Middlebury College,Middlebury College,Yes,,4/28/2024,https://vtdigger.org/2024/04/28/pro-palestinian-protest-encampments-spring-up-at-the-university-of-vermont-middlebury-college/,,,,,No,,,,,No,233,Red,matched_to_cfsr2025,0,,,,
99,Mississippi State University,Mississippi State University,No,,,,,,,,No,,,,,Not Applicable,14,Green,matched_to_cfsr2025,0,,,,
100,Missouri State University-Springfield,Missouri State University,No,,,,,,,,No,,,,,Not Applicable,112,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
101,Montana State University,Montana State University,No,,,,,,,,No,,,,,Not Applicable,142,Yellow,matched_to_cfsr2025,0,,,,
102,Montclair State University,Montclair State University,No,,,,,,,,No,,,,,Not Applicable,90,Yellow,matched_to_cfsr2025,0,,,,
103,Mount Holyoke College,Mount Holyoke College,No,,,,,,,,No,,,,,Not Applicable,155,Red,matched_to_cfsr2025,0,,,,
104,New Jersey Institute of Technology,New Jersey Institute of Technology,No,,,,,,,,No,,,,,Not Applicable,25,Yellow,matched_to_cfsr2025,0,,,,
105,New Mexico State University-Main Campus,New Mexico State University,Yes,,4/29/2024,https://nmsuroundup.com/25161/news/breaking-pro-palestine-rally-and-encampment-demands-ceasefire-lists-demands-for-nmsu-officials/,,https://twitter.com/LC4Palestine/status/1785071458206548158,,,Yes,13.0,https://www.lcsun-news.com/story/news/local/2024/05/09/protesters-arrested-after-sit-in-on-new-mexico-state-university/73636223007/,Yes,5/9/24,Yes,32,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
106,New York University,New York University,Yes,,4/22/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,https://www.nytimes.com/2024/04/22/us/campus-protests-arrests.html,https://www.amny.com/news/nyu-students-encampment-palestine-april-26-2024/,,,Yes,37.0,https://www.nytimes.com/interactive/2024/us/pro-palestinian-college-protests-encampments.html,,various,Yes,224,Yellow,matched_to_cfsr2025,0,,,,
107,North Carolina State University at Raleigh,North Carolina State University,No,,,https://abc11.com/one-demonstrator-arrested-at-nc-state-during-palestinian-protest/14748560/,,https://twitter.com/Braxtonbrew96/status/1781345497120161996,,"1 arrested from protest, but not encampment",No,,,,,Not Applicable,11,Green,matched_to_cfsr2025,1,,,,reviewed_ok
108,North Dakota State University-Main Campus,North Dakota State University,No,,,,,,,,No,,,,,Not Applicable,53,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
109,Northeastern Illinois University,Northeastern Illinois University,No,,,,,,,,No,,,,,Not Applicable,,,matched_to_cfsr2025,0,,,,
110,Northeastern University,Northeastern University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/HuntNewsNU/status/1783489982788665599,,,Yes,98.0,"https://news.northeastern.edu/facts-about-the-encampment-on-northeastern-universitys-boston-campus/#:~:text=According%20to%20the%20official%20police,are%20not%20affiliated%20with%20Northeastern.",,4/27/24,Yes,198,Red,matched_to_cfsr2025,0,,,,
111,Northern Arizona University,Northern Arizona University,Yes,,4/30/24,https://www.knau.org/knau-and-arizona-news/2024-05-01/law-enforcement-dismantle-encampment-on-nau-campus-about-20-arrested,,,,protest,Yes,24.0,"https://www.knau.org/knau-and-arizona-news/2024-05-01/law-enforcement-dismantle-encampment-on-nau-campus-about-20-arrested#:~:text=Police%20in%20riot%20gear%20dismantled,for%20trespassing%2C%20including%2022%20students.",,4/30/24,Yes,16,Green,matched_to_cfsr2025,0,,,,
112,Northwestern University,Northwestern University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://twitter.com/thedailynu/status/1783470066446553091,,arrested/charged months after the protest,Yes,4.0,https://chicago.suntimes.com/israel-hamas-war/2024/07/18/northwestern-university-police-arrest-educators-pro-palestinian-encampment,Yes,7/18/24,Yes,242,Red,matched_to_cfsr2025,0,,,,
113,Oberlin College,Oberlin College,Yes,,4/29/2024,https://chroniclet.com/news/389475/over-a-hundred-students-gather-in-encampment-at-oberlin-college-to-protest-israel-hamas-war/,,https://twitter.com/lycheegirl22/status/1784990470529278197,,,No,,,,,No,75,Yellow,matched_to_cfsr2025,0,,,,
114,Occidental College,Occidental College,Yes,,4/29/2024,,,https://twitter.com/promise__li/status/1784946383243694159,,,No,,,,,No,123,Yellow,matched_to_cfsr2025,0,,,,
115,Ohio State University-Main Campus,Ohio State University,Yes,,4/25/2024,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,,https://www.instagram.com/reel/C6LpO3xOKBZ/?igsh=bHZ5NmFqMTR3eHo4,,,Yes,41.0,https://cwcolumbus.com/news/local/osu-ohio-state-campus-columbus-ohio-south-oval-protests-arrest-this-week-police-palestine-court-arraignment-hana-el-nemr-yousuf-munir-sumaya-hamadmad,,various,Yes,52,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
116,Ohio University-Main Campus,Ohio University,No,,,,,,,,No,,,,,Not Applicable,56,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
117,Oklahoma State University-Main Campus,Oklahoma State University,No,,,,,,,,No,,,,,Not Applicable,48,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
118,Oregon State University,Oregon State University,Yes,Yes,5/15/2024,https://www.registerguard.com/story/news/education/2024/05/15/pro-palestinian-encampment-oregon-state-university/73702145007/,,,,,No,,,,,No,4,Green,matched_to_cfsr2025,0,,,,
119,Pennsylvania State University-Main Campus,Pennsylvania State University,No,,,https://www.chronicle.com/article/heres-where-student-protesters-are-demanding-divestment-from-israel,4/25/2024,https://www.instagram.com/p/C6JkHJsu7mm/,,protest,No,,,,,No,189,Yellow,matched_to_cfsr2025,1,,,,reviewed_ok
